date,region,cpu_used,cpu_total,storage_used,storage_allocated,weather_temp,power_outage,price_factor,day_of_week,month,quarter,is_weekend,utilization_ratio,storage_efficiency,cpu_usage,cpu_lag_1,cpu_lag_3,cpu_lag_7,cpu_roll_mean_7,cpu_roll_max_7,cpu_roll_min_7,cpu_roll_mean_30,cpu_roll_max_30,cpu_roll_min_30
2024-01-30,East,85.29,100,149.2,668.39,29.24,0,1.03,1,1,1,0,0.8529000000000001,0.22322296862610153,85.29,95.29,98.33,48.6,78.67285714285715,98.33,42.61,68.27,99.67,31.68
2024-01-31,East,54.14,100,559.49,624.55,24.61,0,1.18,2,1,1,0,0.5414,0.8958289968777521,54.14,85.29,55.68,82.08,74.68142857142857,98.33,42.61,67.009,99.67,31.68
2024-02-01,East,49.43,100,508.38,789.7,10.72,0,0.88,3,2,1,0,0.4943,0.6437634544763834,49.43,54.14,95.29,42.61,75.6557142857143,98.33,49.43,65.66433333333333,99.67,31.68
2024-02-02,East,55.89,100,169.5,781.05,24.3,0,0.87,4,2,1,0,0.5589,0.2170155559823315,55.89,49.43,85.29,91.43,70.57857142857144,98.33,49.43,65.33466666666666,99.67,31.68
2024-02-03,East,80.34,100,367.33,656.87,38.39,1,1.03,5,2,1,1,0.8034,0.5592126295918523,80.34,55.89,54.14,98.33,68.00857142857143,95.29,49.43,66.46066666666667,99.67,31.68
2024-02-04,East,64.31,100,654.86,930.12,34.21,0,0.89,6,2,1,1,0.6431,0.7040596912226379,64.31,80.34,49.43,55.68,69.24142857142857,95.29,49.43,67.15666666666667,99.67,31.68
2024-02-05,East,30.84,100,564.96,569.23,39.38,1,0.8,0,2,1,0,0.3084,0.9924986385116737,30.84,64.31,55.89,95.29,60.03428571428571,85.29,30.84,66.142,99.67,30.84
2024-02-06,East,51.29,100,760.67,957.94,36.51,1,1.1,1,2,1,0,0.5129,0.7940685220368707,51.29,30.84,80.34,85.29,55.17714285714286,80.34,30.84,66.45833333333333,99.67,30.84
2024-02-07,East,54.91,100,548.51,629.95,11.04,0,0.84,2,2,1,0,0.5490999999999999,0.8707198984046353,54.91,51.29,64.31,54.14,55.287142857142854,80.34,30.84,66.25533333333334,99.67,30.84
2024-02-08,East,97.38,100,177.82,858.86,29.49,1,1.07,3,2,1,0,0.9738,0.2070418927415411,97.38,54.91,30.84,49.43,62.13714285714286,97.38,30.84,67.99333333333334,99.67,30.84
2024-02-09,East,71.37,100,473.96,581.82,24.19,0,0.99,4,2,1,0,0.7137,0.8146162043243613,71.37,97.38,51.29,55.89,64.34857142857142,97.38,30.84,69.31633333333335,99.67,30.84
2024-02-10,East,53.52,100,685.49,733.15,20.0,0,1.07,5,2,1,1,0.5352,0.9349928391188707,53.52,71.37,54.91,80.34,60.51714285714286,97.38,30.84,68.29033333333334,99.67,30.84
2024-02-11,East,45.59,100,122.32,893.69,12.95,1,0.98,6,2,1,1,0.4559,0.13687072698586758,45.59,53.52,97.38,64.31,57.84285714285714,97.38,30.84,68.043,99.67,30.84
2024-02-12,East,41.61,100,722.16,725.08,14.72,1,0.98,0,2,1,0,0.41609999999999997,0.9959728581673746,41.61,45.59,71.37,30.84,59.38142857142857,97.38,41.61,68.06133333333334,99.67,30.84
2024-02-13,East,83.33,100,536.0,613.16,11.51,0,1.01,1,2,1,0,0.8332999999999999,0.8741600887207255,83.33,41.61,53.52,51.29,63.95857142857143,97.38,41.61,67.70933333333333,99.67,30.84
2024-02-14,East,42.45,100,852.76,937.61,29.77,0,0.86,2,2,1,0,0.42450000000000004,0.909503951536353,42.45,83.33,45.59,54.91,62.17857142857144,97.38,41.61,66.09833333333333,99.67,30.84
2024-02-15,East,62.19,100,712.05,970.16,31.4,0,0.94,3,2,1,0,0.6219,0.7339511008493445,62.19,42.45,41.61,97.38,57.151428571428575,83.33,41.61,64.849,99.28,30.84
2024-02-16,East,69.08,100,832.24,977.29,11.27,0,0.98,4,2,1,0,0.6908,0.8515793674344361,69.08,62.19,83.33,71.37,56.82428571428572,83.33,41.61,64.121,99.28,30.84
2024-02-17,East,32.63,100,292.56,672.03,31.7,0,1.03,5,2,1,1,0.32630000000000003,0.4353377081380296,32.63,69.08,42.45,53.52,53.839999999999996,83.33,32.63,63.665333333333336,99.28,30.84
2024-02-18,East,54.05,100,415.07,929.27,14.14,0,0.96,6,2,1,1,0.5405,0.44666243395353344,54.05,32.63,62.19,45.59,55.048571428571435,83.33,32.63,64.333,99.28,30.84
2024-02-19,East,87.06,100,850.42,945.75,38.74,0,1.01,0,2,1,0,0.8706,0.8992016917790113,87.06,54.05,69.08,41.61,61.541428571428575,87.06,32.63,63.925666666666665,98.33,30.84
2024-02-20,East,82.54,100,483.9,652.35,38.2,1,1.04,1,2,1,0,0.8254,0.7417797194757415,82.54,87.06,32.63,83.33,61.42857142857144,87.06,32.63,64.01299999999999,98.33,30.84
2024-02-21,East,36.21,100,323.56,780.32,12.47,0,0.81,2,2,1,0,0.36210000000000003,0.4146503998359647,36.21,82.54,54.05,42.45,60.537142857142854,87.06,32.63,63.315666666666665,98.33,30.84
2024-02-22,East,47.53,100,147.75,774.39,16.46,0,0.96,3,2,1,0,0.4753,0.1907953356835703,47.53,36.21,87.06,62.19,58.44285714285714,87.06,32.63,63.279999999999994,98.33,30.84
2024-02-23,East,63.04,100,587.11,892.66,16.38,0,1.05,4,2,1,0,0.6304,0.657708422019582,63.04,47.53,82.54,69.08,57.58,87.06,32.63,62.64533333333334,98.33,30.84
2024-02-24,East,35.3,100,175.85,538.92,37.44,1,1.12,5,2,1,1,0.353,0.32630074964744304,35.3,63.04,36.21,32.63,57.96142857142858,87.06,35.3,62.40166666666667,98.33,30.84
2024-02-25,East,38.6,100,614.14,670.5,30.56,0,0.97,6,2,1,1,0.386,0.9159433258762117,38.6,35.3,47.53,54.05,55.75428571428572,87.06,35.3,60.64066666666667,98.33,30.84
2024-02-26,East,51.05,100,643.02,875.99,30.08,0,0.81,0,2,1,0,0.5105,0.7340494754506329,51.05,38.6,63.04,87.06,50.61,82.54,35.3,59.06466666666667,97.38,30.84
2024-02-27,East,41.33,100,434.79,689.94,35.46,0,0.92,1,2,1,0,0.4133,0.630185233498565,41.33,51.05,35.3,82.54,44.722857142857144,63.04,35.3,58.586333333333336,97.38,30.84
2024-02-28,East,72.79,100,357.54,569.66,38.1,0,0.86,2,2,1,0,0.7279000000000001,0.6276375381806693,72.79,41.33,38.6,36.21,49.94857142857143,72.79,35.3,57.836333333333336,97.38,30.84
2024-02-29,East,59.34,100,600.68,636.14,11.47,0,0.97,3,2,1,0,0.5934,0.9442575533687553,59.34,72.79,51.05,47.53,51.635714285714286,72.79,35.3,56.97133333333333,97.38,30.84
2024-03-01,East,43.31,100,300.15,811.3,22.58,0,1.08,4,3,1,0,0.43310000000000004,0.36996178972020216,43.31,59.34,41.33,63.04,48.81714285714286,72.79,35.3,56.61033333333333,97.38,30.84
