date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,month,year,quarter,is_weekend,usage_cpu_lag_1,usage_cpu_lag_3,usage_cpu_lag_7,usage_cpu_rolling_mean_7d,usage_cpu_rolling_max_7d,usage_cpu_rolling_min_7d,usage_cpu_rolling_mean_30d,usage_cpu_rolling_max_30d,usage_cpu_rolling_min_30d,usage_storage_rolling_mean_7d,usage_storage_rolling_max_7d,usage_storage_rolling_min_7d,usage_storage_rolling_mean_30d,usage_storage_rolling_max_30d,usage_storage_rolling_min_30d,cpu_allocation,storage_allocation,utilization_ratio,storage_efficiency,weather,outages,price_changes
2023-01-01,East US,VM,88,1959,470,104.97,0.99,1,6,1,2023,1,1,,,,,,,,,,,,,,,,100,2000,0.88,0.9795,14.218980843468255,0,1.0051752696192384
2023-01-01,East US,Storage,92,1595,388,104.97,0.99,1,6,1,2023,1,1,88.0,,,,,,,,,,,,,,,100,2000,0.92,0.7975,18.5348276480851,1,-0.6074040210283289
2023-01-01,East US,Container,70,621,414,104.97,0.99,1,6,1,2023,1,1,92.0,,,,,,,,,,,,,,,100,2000,0.7,0.3105,20.72526252389448,1,1.446066008005343
2023-01-02,East US,VM,96,1457,250,106.48,1.15,0,0,1,2023,1,0,70.0,88.0,,,,,,,,,,,,,,100,2000,0.96,0.7285,18.67319567289121,1,-1.31885743017885
2023-01-02,East US,Storage,93,1767,330,106.48,1.15,0,0,1,2023,1,0,96.0,92.0,,,,,,,,,,,,,,100,2000,0.93,0.8835,23.057976559772328,0,0.3345173439833028
2023-01-02,East US,Container,86,1146,220,106.48,1.15,0,0,1,2023,1,0,93.0,70.0,,,,,,,,,,,,,,100,2000,0.86,0.573,19.43838295314319,0,-0.4752067178720713
2023-01-03,East US,VM,93,661,401,97.66,0.98,0,1,1,2023,1,0,86.0,96.0,,88.28571428571429,96.0,70.0,,,,1315.142857142857,1959.0,621.0,,,,100,2000,0.93,0.3305,23.33773864351794,0,-0.2106089906863947
2023-01-03,East US,Storage,85,769,470,97.66,0.98,0,1,1,2023,1,0,93.0,93.0,88.0,87.85714285714286,96.0,70.0,,,,1145.142857142857,1767.0,621.0,,,,100,2000,0.85,0.3845,13.720471949072929,1,1.344774730434011
2023-01-03,East US,Container,57,1985,414,97.66,0.98,0,1,1,2023,1,0,85.0,86.0,92.0,82.85714285714286,96.0,57.0,,,,1200.857142857143,1985.0,621.0,,,,100,2000,0.57,0.9925,27.662274228772763,1,1.0007882541047044
2023-01-04,East US,VM,91,730,240,115.79,1.08,0,2,1,2023,1,0,57.0,93.0,70.0,85.85714285714286,96.0,57.0,,,,1216.428571428571,1985.0,661.0,,,,100,2000,0.91,0.365,28.423444309694524,0,0.0554693916273443
2023-01-04,East US,Storage,77,634,400,115.79,1.08,0,2,1,2023,1,0,91.0,85.0,96.0,83.14285714285714,93.0,57.0,,,,1098.857142857143,1985.0,634.0,,,,100,2000,0.77,0.317,13.21115116348741,1,0.6329188498399487
2023-01-04,East US,Container,57,1279,232,115.79,1.08,0,2,1,2023,1,0,77.0,57.0,93.0,78.0,93.0,57.0,,,,1029.142857142857,1985.0,634.0,,,,100,2000,0.57,0.6395,29.54065116901228,0,-0.4716000782657982
2023-01-05,East US,VM,81,984,430,95.31,1.05,0,3,1,2023,1,0,57.0,91.0,86.0,77.28571428571429,93.0,57.0,,,,1006.0,1985.0,634.0,,,,100,2000,0.81,0.492,25.69666872557512,0,0.9998840163352736
2023-01-05,East US,Storage,94,1694,228,95.31,1.05,0,3,1,2023,1,0,81.0,77.0,93.0,77.42857142857143,94.0,57.0,,,,1153.571428571429,1985.0,634.0,,,,100,2000,0.94,0.847,20.277143449024507,1,-1.0043140183168242
2023-01-05,East US,Container,85,1024,359,95.31,1.05,0,3,1,2023,1,0,94.0,57.0,85.0,77.42857142857143,94.0,57.0,,,,1190.0,1985.0,634.0,,,,100,2000,0.85,0.512,21.22917484257613,1,1.3641359763537435
2023-01-06,East US,VM,86,1748,433,95.37,0.95,0,4,1,2023,1,0,85.0,81.0,57.0,81.57142857142857,94.0,57.0,,,,1156.142857142857,1748.0,634.0,,,,100,2000,0.86,0.874,17.053983455076704,1,0.77850585689586
2023-01-06,East US,Storage,93,1163,359,95.37,0.95,0,4,1,2023,1,0,86.0,94.0,91.0,81.85714285714286,94.0,57.0,,,,1218.0,1748.0,634.0,,,,100,2000,0.93,0.5815,19.597362668844266,0,-0.6914228048012931
2023-01-06,East US,Container,81,1995,432,95.37,0.95,0,4,1,2023,1,0,93.0,85.0,77.0,82.42857142857143,94.0,57.0,,,,1412.428571428571,1995.0,984.0,,,,100,2000,0.81,0.9975,14.359212158891472,0,-0.0415326633687343
2023-01-07,East US,VM,66,1266,493,102.42,0.81,1,5,1,2023,1,1,81.0,86.0,57.0,83.71428571428571,94.0,66.0,,,,1410.571428571429,1995.0,984.0,,,,100,2000,0.66,0.633,25.867646016979062,1,0.2750620349943057
2023-01-07,East US,Storage,73,1383,297,102.42,0.81,1,5,1,2023,1,1,66.0,93.0,81.0,82.57142857142857,94.0,66.0,,,,1467.571428571429,1995.0,1024.0,,,,100,2000,0.73,0.6915,15.219788753351937,1,0.7967447232387795
2023-01-07,East US,Container,55,1481,439,102.42,0.81,1,5,1,2023,1,1,73.0,81.0,94.0,77.0,93.0,55.0,,,,1437.142857142857,1995.0,1024.0,,,,100,2000,0.55,0.7405,29.631942465360694,0,-1.1390316900738815
2023-01-08,East US,VM,98,501,453,82.75,0.94,1,6,1,2023,1,1,55.0,66.0,85.0,78.85714285714286,98.0,55.0,,,,1362.428571428571,1995.0,501.0,,,,100,2000,0.98,0.2505,15.296914356414206,0,1.2113531498348749
2023-01-08,East US,Storage,61,952,236,82.75,0.94,1,6,1,2023,1,1,98.0,73.0,86.0,75.28571428571429,98.0,55.0,,,,1248.7142857142858,1995.0,501.0,,,,100,2000,0.61,0.476,25.96437570560746,1,1.0943702597434044
2023-01-08,East US,Container,81,1514,208,82.75,0.94,1,6,1,2023,1,1,61.0,55.0,93.0,73.57142857142857,98.0,55.0,,,,1298.857142857143,1995.0,501.0,,,,100,2000,0.81,0.757,13.894842487841432,0,-0.6505011890641856
2023-01-09,East US,VM,85,660,267,89.87,1.03,0,0,1,2023,1,0,81.0,98.0,81.0,74.14285714285714,98.0,55.0,,,,1108.142857142857,1514.0,501.0,,,,100,2000,0.85,0.33,26.795641899023835,0,-1.279630266935817
2023-01-09,East US,Storage,82,897,476,89.87,1.03,0,0,1,2023,1,0,85.0,61.0,66.0,76.42857142857143,98.0,55.0,,,,1055.428571428571,1514.0,501.0,,,,100,2000,0.82,0.4485,25.471066203432287,0,-0.033485009590466
2023-01-09,East US,Container,97,1915,334,89.87,1.03,0,0,1,2023,1,0,82.0,81.0,73.0,79.85714285714286,98.0,55.0,,,,1131.428571428571,1915.0,501.0,,,,100,2000,0.97,0.9575,22.46926388587204,0,1.5933910994998235
2023-01-10,East US,VM,77,657,245,90.92,0.86,0,1,1,2023,1,0,97.0,85.0,55.0,83.0,98.0,61.0,,,,1013.7142857142856,1915.0,501.0,,,,100,2000,0.77,0.3285,11.13035528289648,0,2.319204739133515
2023-01-10,East US,Storage,55,598,432,90.92,0.86,0,1,1,2023,1,0,77.0,82.0,98.0,76.85714285714286,97.0,55.0,,,,1027.571428571429,1915.0,598.0,,,,100,2000,0.55,0.299,24.3955176506074,0,0.1338615589516918
2023-01-10,East US,Container,86,779,380,90.92,0.86,0,1,1,2023,1,0,55.0,97.0,61.0,80.42857142857143,97.0,55.0,80.7,98.0,55.0,1002.8571428571428,1915.0,598.0,1193.8,1995.0,501.0,100,2000,0.86,0.3895,21.74151503854309,1,1.1784757900741891
2023-01-11,East US,VM,97,1562,369,114.66,0.98,0,2,1,2023,1,0,86.0,77.0,81.0,82.71428571428571,97.0,55.0,81.0,98.0,55.0,1009.7142857142856,1915.0,598.0,1180.5666666666666,1995.0,501.0,100,2000,0.97,0.781,10.494625143631076,1,0.3445144906067246
2023-01-11,East US,Storage,75,1420,212,114.66,0.98,0,2,1,2023,1,0,97.0,55.0,85.0,81.28571428571429,97.0,55.0,80.43333333333334,98.0,55.0,1118.2857142857142,1915.0,598.0,1174.7333333333331,1995.0,501.0,100,2000,0.75,0.71,26.753147921908603,1,0.4998299341462495
2023-01-11,East US,Container,56,535,372,114.66,0.98,0,2,1,2023,1,0,75.0,86.0,82.0,77.57142857142857,97.0,55.0,79.96666666666667,98.0,55.0,1066.571428571429,1915.0,535.0,1171.8666666666666,1995.0,501.0,100,2000,0.56,0.2675,25.64980573327249,0,-0.984372565521612
2023-01-12,East US,VM,92,943,300,100.68,0.86,0,3,1,2023,1,0,56.0,97.0,97.0,76.85714285714286,97.0,55.0,79.83333333333333,98.0,55.0,927.7142857142856,1562.0,535.0,1154.7333333333331,1995.0,501.0,100,2000,0.92,0.4715,23.421570050066386,0,-1.1631580313003067
2023-01-12,East US,Storage,82,763,252,100.68,0.86,0,3,1,2023,1,0,92.0,75.0,77.0,77.57142857142857,97.0,55.0,79.46666666666667,98.0,55.0,942.8571428571428,1562.0,535.0,1121.2666666666669,1995.0,501.0,100,2000,0.82,0.3815,23.39258105839736,1,0.9738906385853122
2023-01-12,East US,Container,93,504,302,100.68,0.86,0,3,1,2023,1,0,82.0,56.0,55.0,83.0,97.0,56.0,79.7,98.0,55.0,929.4285714285714,1562.0,504.0,1099.8666666666666,1995.0,501.0,100,2000,0.93,0.252,29.047910096670822,0,1.369543240949738
2023-01-13,East US,VM,50,1795,388,94.56,1.01,0,4,1,2023,1,0,93.0,92.0,86.0,77.85714285714286,97.0,50.0,78.26666666666667,98.0,50.0,1074.571428571429,1795.0,504.0,1137.6666666666667,1995.0,501.0,100,2000,0.5,0.8975,11.76644292975368,0,-0.8080008012648145
2023-01-13,East US,Storage,88,1203,268,94.56,1.01,0,4,1,2023,1,0,50.0,82.0,97.0,76.57142857142857,93.0,50.0,78.36666666666666,98.0,50.0,1023.2857142857144,1795.0,504.0,1152.1333333333334,1995.0,501.0,100,2000,0.88,0.6015,21.921407513217677,0,-0.4888900798431336
2023-01-13,East US,Container,71,1360,446,94.56,1.01,0,4,1,2023,1,0,88.0,93.0,75.0,76.0,93.0,50.0,78.83333333333333,98.0,50.0,1014.7142857142856,1795.0,504.0,1131.3,1995.0,501.0,100,2000,0.71,0.68,12.329627335203178,0,0.0595921644692051
2023-01-14,East US,VM,80,1261,346,88.49,1.04,1,5,1,2023,1,1,71.0,50.0,56.0,79.42857142857143,93.0,50.0,78.46666666666667,98.0,50.0,1118.428571428571,1795.0,504.0,1149.0,1995.0,501.0,100,2000,0.8,0.6305,26.031041937935424,0,1.3436685162874498
2023-01-14,East US,Storage,81,1268,203,88.49,1.04,1,5,1,2023,1,1,80.0,88.0,92.0,77.85714285714286,93.0,50.0,78.6,98.0,50.0,1164.857142857143,1795.0,504.0,1170.1333333333334,1995.0,501.0,100,2000,0.81,0.634,17.365296148889023,1,0.0095775348989967
2023-01-14,East US,Container,65,1291,446,88.49,1.04,1,5,1,2023,1,1,81.0,71.0,82.0,75.42857142857143,93.0,50.0,78.86666666666666,98.0,50.0,1240.2857142857142,1795.0,504.0,1170.5333333333333,1995.0,501.0,100,2000,0.65,0.6455,11.554715528441625,0,-0.4857597896874169
