date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,month,year,quarter,is_weekend,usage_cpu_lag_1,usage_cpu_lag_3,usage_cpu_lag_7,usage_cpu_rolling_mean_7d,usage_cpu_rolling_max_7d,usage_cpu_rolling_min_7d,usage_cpu_rolling_mean_30d,usage_cpu_rolling_max_30d,usage_cpu_rolling_min_30d,usage_storage_rolling_mean_7d,usage_storage_rolling_max_7d,usage_storage_rolling_min_7d,usage_storage_rolling_mean_30d,usage_storage_rolling_max_30d,usage_storage_rolling_min_30d,cpu_allocation,storage_allocation,utilization_ratio,storage_efficiency,weather,outages,price_changes
10-01-2023,East US,Container,86,779,380,90.92,0.86,0,1,1,2023,1,0,55,97,61,80.42857142857143,97,55,80.7,98,55,1002.8571428571428,1915,598,1193.8,1995,501,100,2000,0.86,0.3895,14.463458031767932,1,-1.719990677
11-01-2023,East US,VM,97,1562,369,114.66,0.98,0,2,1,2023,1,0,86,77,81,82.71428571428571,97,55,81,98,55,1009.7142857142856,1915,598,1180.5666666666666,1995,501,100,2000,0.97,0.781,25.48581076662569,0,-1.662740884
11-01-2023,East US,Storage,75,1420,212,114.66,0.98,0,2,1,2023,1,0,97,55,85,81.28571428571429,97,55,80.43333333333334,98,55,1118.2857142857142,1915,598,1174.7333333333331,1995,501,100,2000,0.75,0.71,13.744501064093722,0,0.4271154308495175
11-01-2023,East US,Container,56,535,372,114.66,0.98,0,2,1,2023,1,0,75,86,82,77.57142857142857,97,55,79.96666666666667,98,55,1066.571428571429,1915,535,1171.8666666666666,1995,501,100,2000,0.56,0.2675,25.34538002709091,0,-0.55232225
12-01-2023,East US,VM,92,943,300,100.68,0.86,0,3,1,2023,1,0,56,97,97,76.85714285714286,97,55,79.83333333333333,98,55,927.7142857142856,1562,535,1154.7333333333331,1995,501,100,2000,0.92,0.4715,17.317965990383783,1,-0.261855713
12-01-2023,East US,Storage,82,763,252,100.68,0.86,0,3,1,2023,1,0,92,75,77,77.57142857142857,97,55,79.46666666666667,98,55,942.8571428571428,1562,535,1121.2666666666669,1995,501,100,2000,0.82,0.3815,12.404678868372914,1,-2.106063248
12-01-2023,East US,Container,93,504,302,100.68,0.86,0,3,1,2023,1,0,82,56,55,83,97,56,79.7,98,55,929.4285714285714,1562,504,1099.8666666666666,1995,501,100,2000,0.93,0.252,25.988197211697845,1,0.7437441301539676
13-01-2023,East US,VM,50,1795,388,94.56,1.01,0,4,1,2023,1,0,93,92,86,77.85714285714286,97,50,78.26666666666667,98,50,1074.571428571429,1795,504,1137.6666666666667,1995,501,100,2000,0.5,0.8975,12.257865082312664,1,0.466965983540283
13-01-2023,East US,Storage,88,1203,268,94.56,1.01,0,4,1,2023,1,0,50,82,97,76.57142857142857,93,50,78.36666666666666,98,50,1023.2857142857144,1795,504,1152.1333333333334,1995,501,100,2000,0.88,0.6015,25.90346224854538,1,-0.553680909
13-01-2023,East US,Container,71,1360,446,94.56,1.01,0,4,1,2023,1,0,88,93,75,76,93,50,78.83333333333333,98,50,1014.7142857142856,1795,504,1131.3,1995,501,100,2000,0.71,0.68,28.447098895654086,1,-0.601052372
14-01-2023,East US,VM,80,1261,346,88.49,1.04,1,5,1,2023,1,1,71,50,56,79.42857142857143,93,50,78.46666666666667,98,50,1118.428571428571,1795,504,1149,1995,501,100,2000,0.8,0.6305,29.427048130535617,0,-0.396861436
14-01-2023,East US,Storage,81,1268,203,88.49,1.04,1,5,1,2023,1,1,80,88,92,77.85714285714286,93,50,78.6,98,50,1164.857142857143,1795,504,1170.1333333333334,1995,501,100,2000,0.81,0.634,13.856631934942506,0,-0.200313747
14-01-2023,East US,Container,65,1291,446,88.49,1.04,1,5,1,2023,1,1,81,71,82,75.42857142857143,93,50,78.86666666666666,98,50,1240.2857142857142,1795,504,1170.5333333333333,1995,501,100,2000,0.65,0.6455,27.49514054903268,1,-0.880937418
15-01-2023,East US,VM,66,589,463,93.99,0.97,1,6,1,2023,1,1,65,80,93,71.57142857142857,88,50,78.36666666666666,98,50,1252.428571428571,1795,589,1157.3666666666666,1995,501,100,2000,0.66,0.2945,26.46799784689408,0,0.8485529959974333
15-01-2023,East US,Storage,78,1469,289,93.99,0.97,1,6,1,2023,1,1,66,81,50,75.57142857142857,88,65,77.83333333333333,98,50,1205.857142857143,1469,589,1149.8666666666666,1995,501,100,2000,0.78,0.7345,22.04826355505585,0,-0.318530671
15-01-2023,East US,Container,83,614,304,93.99,0.97,1,6,1,2023,1,1,78,65,88,74.85714285714286,83,65,77.76666666666667,98,50,1121.7142857142858,1469,589,1136.2,1995,501,100,2000,0.83,0.307,25.29843660352896,1,-1.581412282
16-01-2023,East US,VM,84,1372,485,93.98,1.19,0,0,1,2023,1,0,83,66,71,76.71428571428571,84,65,77.7,98,50,1123.428571428571,1469,589,1123.6666666666667,1995,501,100,2000,0.84,0.686,14.390232520749064,1,1.2863246665657952
16-01-2023,East US,Storage,66,561,283,93.98,1.19,0,0,1,2023,1,0,84,78,80,74.71428571428571,84,65,76.8,98,50,1023.4285714285714,1469,561,1103.6,1995,501,100,2000,0.66,0.2805,26.68511204697754,1,-1.247817396
16-01-2023,East US,Container,97,1228,386,93.98,1.19,0,0,1,2023,1,0,66,83,81,77,97,65,77.33333333333333,98,50,1017.7142857142856,1469,561,1078.0333333333333,1915,501,100,2000,0.97,0.614,20.7098083949807,1,1.3159026249678356
17-01-2023,East US,VM,54,1686,414,99.87,0.89,0,1,1,2023,1,0,97,84,65,75.42857142857143,97,54,76.93333333333334,98,50,1074.142857142857,1686,561,1092.0333333333333,1915,501,100,2000,0.54,0.843,14.07779756217634,1,0.1619370212489967
17-01-2023,East US,Storage,78,734,345,99.87,0.89,0,1,1,2023,1,0,54,66,66,77.14285714285714,97,54,77.1,98,50,1094.857142857143,1686,561,1070.4,1915,501,100,2000,0.78,0.367,17.40345985700117,1,-0.128850653
