date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,month,year,quarter,is_weekend,usage_cpu_lag_1,usage_cpu_lag_3,usage_cpu_lag_7,usage_cpu_rolling_mean_7d,usage_cpu_rolling_max_7d,usage_cpu_rolling_min_7d,usage_cpu_rolling_mean_30d,usage_cpu_rolling_max_30d,usage_cpu_rolling_min_30d,usage_storage_rolling_mean_7d,usage_storage_rolling_max_7d,usage_storage_rolling_min_7d,usage_storage_rolling_mean_30d,usage_storage_rolling_max_30d,usage_storage_rolling_min_30d,cpu_allocation,storage_allocation,utilization_ratio,storage_efficiency,weather,outages,price_changes
2023-01-01,East US,VM,88,1959,470,104.97,0.99,1,6,1,2023,1,1,,,,,,,,,,,,,,,,100,2000,0.88,0.9795,25.969026276595592,1,-0.09783215100820572
2023-01-01,East US,Storage,92,1595,388,104.97,0.99,1,6,1,2023,1,1,88.0,,,,,,,,,,,,,,,100,2000,0.92,0.7975,12.453189366330719,0,0.7646101469876123
2023-01-01,East US,Container,70,621,414,104.97,0.99,1,6,1,2023,1,1,92.0,,,,,,,,,,,,,,,100,2000,0.7,0.3105,28.070528122617745,1,-0.4695207933230596
2023-01-02,East US,VM,96,1457,250,106.48,1.15,0,0,1,2023,1,0,70.0,88.0,,,,,,,,,,,,,,100,2000,0.96,0.7285,10.621370286495033,0,0.18311080883781547
2023-01-02,East US,Storage,93,1767,330,106.48,1.15,0,0,1,2023,1,0,96.0,92.0,,,,,,,,,,,,,,100,2000,0.93,0.8835,18.637283798839796,1,0.6327582513169258
2023-01-02,East US,Container,86,1146,220,106.48,1.15,0,0,1,2023,1,0,93.0,70.0,,,,,,,,,,,,,,100,2000,0.86,0.573,12.633965065238261,0,0.2038832331133763
2023-01-03,East US,VM,93,661,401,97.66,0.98,0,1,1,2023,1,0,86.0,96.0,,88.28571428571429,96.0,70.0,,,,1315.142857142857,1959.0,621.0,,,,100,2000,0.93,0.3305,18.369150998740803,0,-2.0628173871107363
2023-01-03,East US,Storage,85,769,470,97.66,0.98,0,1,1,2023,1,0,93.0,93.0,88.0,87.85714285714286,96.0,70.0,,,,1145.142857142857,1767.0,621.0,,,,100,2000,0.85,0.3845,24.082579294560226,0,0.5774250219773384
2023-01-03,East US,Container,57,1985,414,97.66,0.98,0,1,1,2023,1,0,85.0,86.0,92.0,82.85714285714286,96.0,57.0,,,,1200.857142857143,1985.0,621.0,,,,100,2000,0.57,0.9925,15.976431697879727,1,0.07864698053719779
2023-01-04,East US,VM,91,730,240,115.79,1.08,0,2,1,2023,1,0,57.0,93.0,70.0,85.85714285714286,96.0,57.0,,,,1216.4285714285713,1985.0,661.0,,,,100,2000,0.91,0.365,21.907516801080465,0,2.3542660449551214
2023-01-04,East US,Storage,77,634,400,115.79,1.08,0,2,1,2023,1,0,91.0,85.0,96.0,83.14285714285714,93.0,57.0,,,,1098.857142857143,1985.0,634.0,,,,100,2000,0.77,0.317,29.518477260550956,0,0.13193774049933982
2023-01-04,East US,Container,57,1279,232,115.79,1.08,0,2,1,2023,1,0,77.0,57.0,93.0,78.0,93.0,57.0,,,,1029.142857142857,1985.0,634.0,,,,100,2000,0.57,0.6395,25.196486671161683,0,-1.0043455194486377
2023-01-05,East US,VM,81,984,430,95.31,1.05,0,3,1,2023,1,0,57.0,91.0,86.0,77.28571428571429,93.0,57.0,,,,1006.0,1985.0,634.0,,,,100,2000,0.81,0.492,10.895643911226017,1,-0.8011979175183489
2023-01-05,East US,Storage,94,1694,228,95.31,1.05,0,3,1,2023,1,0,81.0,77.0,93.0,77.42857142857143,94.0,57.0,,,,1153.5714285714287,1985.0,634.0,,,,100,2000,0.94,0.847,21.175509332883575,0,-0.2896683750008764
2023-01-05,East US,Container,85,1024,359,95.31,1.05,0,3,1,2023,1,0,94.0,57.0,85.0,77.42857142857143,94.0,57.0,,,,1190.0,1985.0,634.0,,,,100,2000,0.85,0.512,26.49192987861789,0,-0.04092282610821139
2023-01-06,East US,VM,86,1748,433,95.37,0.95,0,4,1,2023,1,0,85.0,81.0,57.0,81.57142857142857,94.0,57.0,,,,1156.142857142857,1748.0,634.0,,,,100,2000,0.86,0.874,25.516132050383458,1,-0.49934787206159387
2023-01-06,East US,Storage,93,1163,359,95.37,0.95,0,4,1,2023,1,0,86.0,94.0,91.0,81.85714285714286,94.0,57.0,,,,1218.0,1748.0,634.0,,,,100,2000,0.93,0.5815,28.243211156107552,1,-0.053233999613087925
2023-01-06,East US,Container,81,1995,432,95.37,0.95,0,4,1,2023,1,0,93.0,85.0,77.0,82.42857142857143,94.0,57.0,,,,1412.4285714285713,1995.0,984.0,,,,100,2000,0.81,0.9975,24.530382515115207,1,-0.24510497689538022
2023-01-07,East US,VM,66,1266,493,102.42,0.81,1,5,1,2023,1,1,81.0,86.0,57.0,83.71428571428571,94.0,66.0,,,,1410.5714285714287,1995.0,984.0,,,,100,2000,0.66,0.633,15.814278730193669,1,-0.27817959272027887
2023-01-07,East US,Storage,73,1383,297,102.42,0.81,1,5,1,2023,1,1,66.0,93.0,81.0,82.57142857142857,94.0,66.0,,,,1467.5714285714287,1995.0,1024.0,,,,100,2000,0.73,0.6915,23.487182264694862,1,-0.6499817384618324
2023-01-07,East US,Container,55,1481,439,102.42,0.81,1,5,1,2023,1,1,73.0,81.0,94.0,77.0,93.0,55.0,,,,1437.142857142857,1995.0,1024.0,,,,100,2000,0.55,0.7405,21.10133175031021,0,-1.648629069098092
2023-01-08,East US,VM,98,501,453,82.75,0.94,1,6,1,2023,1,1,55.0,66.0,85.0,78.85714285714286,98.0,55.0,,,,1362.4285714285713,1995.0,501.0,,,,100,2000,0.98,0.2505,22.393226048955633,0,-0.8950924361843907
